WorkPackageID,Phase,Name,Scope,Approach,RisksIfDoneWrong,DependsOn,Verification,SigridRemarkStrategy
WP-00,0 - Prep,Baseline and process,"Code findings only (see devops/ for K8s, Docker, nginx).",One work package per PR; re-export Sigrid after each phase.,Mixing infra and app changes in one PR,,Sigrid code findings improve per phase,
WP-01,1 - Dependencies,Backend npm dependency upgrades,"multer, undici, nodemailer in backend/package.json + package-lock.json",Run npm audit in backend/; upgrade targeted packages; smoke-test file upload and API flows.,Breaking changes in multer/nodemailer; lockfile drift if partial updates,WP-00,Clears 2 Reliability RAW + 3 Security RAW,Single lockfile regeneration in one PR
WP-02,1 - Dependencies,Frontend xlsx dependency,xlsx alias npm:@e965/xlsx in root package.json,Confirm lockfile uses patched fork; bump fork if needed; test Excel export/import.,Excel export regressions in report flows,WP-00,Clears xlsx Security RAW,
WP-05,2 - Dev tooling,verify-regio-apis SQL injection,backend/scripts/verify-regio-apis.js + .ts,Fix parameterized queries in .ts; delete stale .js; OR exclude backend/scripts/ from scan.,Breaking local verify script; Sigrid still flags .js if not removed,WP-00,Clears 2 CRITICAL RAW; npm run verify:regio-apis passes,Dev-only script — not production attack surface
WP-06,3 - sendEmail cluster,sendEmail.ts single refactor,"backend/src/routes/emails/sendEmail.ts — 7 Security RAW, 15 Security total, 3 maintainability","One PR: extract HTML builders, puppeteer PDF service (keep request blocking), mail sender; thin route handler.",PDF layout/email regressions; double-touch if done before WP-01,WP-01,Manual spoedrapport test; clears multiple Security + maintainability findings,Do not split security and refactor into separate PRs on same file
WP-07,3 - Auth/HTML,Keycloak callback open redirect,backend/src/routes/auth/authKeycloak/callbackHandler.ts,Confirm safeReturnPath(); add unit tests; Sigrid remark if satisfied.,Breaking post-login deep links,WP-00,Malicious redirect tests pass,Likely false positive — do not remove validation
WP-08,3 - Auth/HTML,renderDownloadPage HTML template,backend/src/helpers/renderDownloadPage.ts,Escape all interpolated data; share HTML utilities with WP-06.,XSS on download page,WP-06,Clears CWE-116 RAW,
WP-09,3 - Auth/HTML,fileDownload.ts verify FIXED,backend/src/routes/fileDownload.ts,Regression check only when touching download flow.,Re-opening XSS,WP-08,Sigrid stays FIXED,
DUP-01,4 - Duplication,Flight plan Buttons pattern,Shared 9-10 line button blocks across Voorbereiding wizard steps,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-02,4 - Duplication,Flight plan FormElements,FormElements / FormInputs / Step1 shared form blocks,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-03,4 - Duplication,useFilterPlans duplicate,src/hooks/filters/useFilterPlans.ts + Nabewerking copy (86% dup),Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-04,4 - Duplication,PointsBuffer internal dup,PointsBuffer.tsx internal duplication,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-05,4 - Duplication,PeriodFilter components,Three PeriodFilter copies,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-06,4 - Duplication,Dashboard user forms,AllRoles / AddUser / EditUser,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-07,4 - Duplication,Zustand plan state,Finished/reuse/view/duplicate plan state hooks,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
DUP-08,4 - Duplication,PointsList variants,PointsList.tsx / PointsListEdit.tsx,Extract shared component/hook; one PR per cluster; UI smoke on affected flows.,Wizard UI regressions; merge conflicts if clusters combined,Independent unless same file as WP-06,Duplication count drops for cluster,One cluster per PR
WP-10,5 - Defer,High fan-in hooks,"useContent.ts (fan-in 144), useLogAction.ts (fan-in 115)",Defer until architecture/logging work.,Wide blast radius,Duplication phase stable,Only with dedicated QA,
WP-11,5 - Defer,Large map/ArcGIS units,"nnederlandLayers, MapComp, EditPointCoordinates, SelectFromSource",Defer; split only during feature work.,Map rendering regressions,Duplication phase stable,Map QA,
WP-12,5 - Defer,Architecture coupling,"Component entanglement, module coupling, component independence",Long-term layering initiative.,Import graph breakage,WP-10,Incremental,
